epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3197.33,1.03959,3.57058,0.91078,0.52672,0.57854,0.52369,0.37054,0.97877,2.57482,0.90275,0.000166458,0.000166458,0.000166458
2,6191.32,0.99198,1.82723,0.91757,0.57654,0.71505,0.66297,0.47921,0.92759,1.48643,0.90605,0.000319932,0.000319932,0.000319932
3,9115.34,0.97789,1.24925,0.9201,0.63225,0.76436,0.74399,0.53642,0.91484,1.04645,0.9017,0.000460207,0.000460207,0.000460207
4,12040.1,0.95814,0.99843,0.91811,0.70713,0.76936,0.79192,0.56809,0.90828,0.87835,0.90025,0.0004406,0.0004406,0.0004406
5,14967.3,0.93923,0.88965,0.91268,0.71412,0.83724,0.83265,0.60179,0.9111,0.76809,0.89801,0.0004208,0.0004208,0.0004208
6,17948.9,0.93042,0.81687,0.9054,0.83544,0.79928,0.87566,0.64778,0.87399,0.69615,0.88931,0.000401,0.000401,0.000401
7,20914.6,0.91111,0.76906,0.89861,0.79279,0.83844,0.86885,0.64207,0.86507,0.66131,0.88074,0.0003812,0.0003812,0.0003812
8,23865.7,0.90031,0.7319,0.89816,0.81127,0.87577,0.89996,0.66805,0.85672,0.638,0.88179,0.0003614,0.0003614,0.0003614
9,26816.8,0.89452,0.70367,0.89706,0.82448,0.89745,0.9155,0.67661,0.85492,0.62838,0.88536,0.0003416,0.0003416,0.0003416
10,29856.8,0.88223,0.68856,0.89034,0.85183,0.85541,0.91543,0.68609,0.84385,0.60579,0.87662,0.0003218,0.0003218,0.0003218
11,32770.4,0.86927,0.65355,0.88756,0.8794,0.88194,0.93441,0.70016,0.83414,0.56845,0.87282,0.000302,0.000302,0.000302
12,35681.8,0.87159,0.64874,0.88645,0.85861,0.88872,0.9302,0.70168,0.82682,0.55195,0.86963,0.0002822,0.0002822,0.0002822
13,38590,0.86234,0.62668,0.88489,0.87398,0.9043,0.93811,0.70906,0.82443,0.54059,0.8705,0.0002624,0.0002624,0.0002624
14,41505.9,0.85114,0.61511,0.88401,0.87694,0.91891,0.94604,0.71477,0.81834,0.53012,0.86698,0.0002426,0.0002426,0.0002426
15,44436.4,0.84185,0.59932,0.87992,0.83778,0.91942,0.93231,0.71153,0.81389,0.5312,0.86493,0.0002228,0.0002228,0.0002228
16,47348.2,0.84854,0.53971,0.87837,0.88164,0.91963,0.94431,0.7229,0.80665,0.51255,0.86378,0.000203,0.000203,0.000203
17,50267.5,0.83764,0.52733,0.87544,0.90319,0.90509,0.94565,0.72581,0.80216,0.50318,0.86326,0.0001832,0.0001832,0.0001832
18,53180.7,0.8261,0.50739,0.87208,0.89149,0.92691,0.95097,0.73404,0.79418,0.4849,0.86068,0.0001634,0.0001634,0.0001634
19,56097.7,0.8168,0.49428,0.86807,0.90901,0.9148,0.95536,0.73337,0.79154,0.48477,0.86091,0.0001436,0.0001436,0.0001436
20,59012.4,0.8115,0.48149,0.86425,0.90247,0.92123,0.95358,0.7362,0.78645,0.47136,0.85681,0.0001238,0.0001238,0.0001238
21,61938.5,0.80788,0.47101,0.86338,0.901,0.92569,0.95348,0.73997,0.78015,0.47168,0.85502,0.000104,0.000104,0.000104
22,64857.8,0.7983,0.45855,0.86241,0.9023,0.9231,0.95062,0.74171,0.77346,0.46784,0.85315,8.42e-05,8.42e-05,8.42e-05
23,67793.6,0.79124,0.44723,0.85978,0.91453,0.92244,0.95551,0.74432,0.76623,0.46019,0.85303,6.44e-05,6.44e-05,6.44e-05
24,70702.1,0.78361,0.43687,0.85911,0.91255,0.92243,0.95506,0.74787,0.76416,0.45425,0.85117,4.46e-05,4.46e-05,4.46e-05
25,73701.9,0.77817,0.42658,0.85667,0.91655,0.91666,0.9534,0.74728,0.76118,0.45407,0.85112,2.48e-05,2.48e-05,2.48e-05
